Schmeichel (LEI),218,gk
Martin (WHU),480,gk
Thomas (LEI),240,def
Robertson (LIV),282,def
Stevens (SHU),383,def
Egan (SHU),389,def
Doherty (TOT),451,def
Willian (ARS),27,mid
Pulisic (CHE),127,mid
Mount (CHE),128,mid
Pérez (LEI),230,mid
Salah (LIV) ,281,mid
Abraham (CHE),126,fwd
Ayew (CRY),152,fwd
Calvert-Lewin (EVE),179,fwd
