Pope (BUR),100
Robertson (LIV),272
Stevens (SHU),373
Doherty (TOT),438
Pulisic (CHE),123
Henderson (LIV),261
De Bruyne (MCI) (C) ,289
Mahrez (MCI),292
Lundstram (SHU),381
Ings (SOU),397
Antonio (WHU),474
Guaita (CRY),135
Wood (BUR),95
Aurier (TOT),420
Thomas (LEI),231
