Martínez (AVL),12,gk
Martin (WHU),429,gk
Chilwell (CHE),232,def
Cresswell (WHU),435,def
Balbuena (WHU),443,def
Saïss (WOL),461,def
Kilman (WOL),470,def
Grealish (AVL),37,mid
Jorginho (CHE),105,mid
Fernandes (MUN),302,mid
Son (TOT),390,mid
Fornals (WHU),450,mid
Wilson (NEW),506,fwd
Ings (SOU),366,fwd
Kane (TOT),388,fwd
